Title	Price	Month_Year	Kms	Fuel	Transmission
FIAT 500 1.2 Lounge	€ 6.999	Febbraio 2011	128.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge	€ 13.900	Gennaio 2020	53.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv per neopatentati	€ 6.900	Maggio 2011	115.000 km	Benzina - Euro 5	Manuale
Fiat 500 1.2 LOUNGE E6 AUTOMATICA/PDC/PANORAMICO 113000 KM	€ 12.250	Marzo 2019	113.000 km	Benzina - Euro 6	Automatico
FIAT 500C Icon Berlina #118CV autonomia fino a 320km	€ 25.900	Novembre 2020	0 km	Elettrico - Euro 0	Automatico
FIAT 500 500 1.2 RockStar	€ 13.900	Dicembre 2019	34.900 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.099	Marzo 2018	53.580 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.099	Marzo 2018	53.580 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.099	Marzo 2018	53.580 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.099	Marzo 2018	53.580 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.099	Marzo 2018	53.580 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.099	Marzo 2018	53.580 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.099	Marzo 2018	53.580 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Aprile 2016	39.780 km	Benzina - Euro 6	Automatico
FIAT 500 1.0 Hybrid Lounge + Car Play - PRONTA CONSEGNA	€ 14.900	Febbraio 2020	23.012 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 SPORT NATURAL POWER	€ 6.499	Luglio 2012	170.000 km	Metano - Euro 4	Manuale
Fiat 500 1.2 Pop	€ 6.500	Aprile 2009	91.752 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 by DIESEL	€ 6.900	Febbraio 2009	80.660 km	Benzina - Euro 4	Manuale
Fiat 500 1.2 LOUNGE E6 AUTOMATICA/PDC/TETTO PANORAMA	€ 12.250	Marzo 2019	116.000 km	Benzina - Euro 6	Automatico
Fiat 500 1.0 70cv Hybrid Cabrio Lounge Carplay Clima A. Bicolor	€ 14.990	Luglio 2020	27.665 km	Elettrico - Euro 6	Manuale
Fiat 500 1.2 Pop GPL	€ 9.490	Maggio 2016	97.588 km	GPL - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 11.380	Marzo 2019	48.395 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 11.380	Marzo 2019	48.395 km	Benzina - Euro 0	Manuale
Fiat 500 EasyPower Lounge - GPL 1.2 GPL 69CV	€ 12.990	Gennaio 2017	48.906 km	GPL - Euro 0	Manuale
FIAT 500 1.2 Lounge	€ 13.500	Gennaio 2018	13.900 km	Benzina - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Sport Tetto P. Clima Aut. Car Play M. Pelle Cerchi 16	€ 15.990	Novembre 2021	7.278 km	Elettrico - Euro 6	Manuale
FIAT 500 1.2 LOUNGE TETTO PANORAMICO ADATTA PER NEOPAT.	€ 11.900	Febbraio 2017	47.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69 CV EasyPower Lounge GPL	€ 7.300	Dicembre 2012	130.000 km	GPL - Euro 6	Manuale
FIAT 500 500 0.9 TwinAir Turbo Sport	€ 6.800	Agosto 2012	125.000 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 EasyPower Lounge	€ 9.500	Aprile 2015	92.829 km	GPL - Euro 6	Manuale
Fiat 500 Lounge 1.2 Benzina 69CV	€ 11.990	Settembre 2017	48.222 km	Benzina - Euro 0	Manuale
FIAT 500 1.0 Hybrid Dolcevita #CARPLAY#SENSORI PARK#	€ 15.900	Maggio 2021	10.700 km	Ibrido - Euro 6	Manuale
FIAT 500 Pop Star	€ 13.750	Maggio 2019	5.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 11.380	Marzo 2019	53.149 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 11.380	Marzo 2019	53.149 km	Benzina - Euro 0	Manuale
FIAT 500 La nuova La Nuova - Icon Berlina	€ 22.900	Giugno 2021	12.000 km	Ibrido - Euro 6	Automatico
FIAT 500 1.2 Star	€ 13.490	Dicembre 2019	38.102 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Star	€ 13.490	Dicembre 2019	38.102 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Star	€ 13.490	Dicembre 2019	38.102 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge *TETTO PANORAMICO* OK NEOPATENTATO*	€ 10.900	Dicembre 2016	84.415 km	Benzina - Euro 6	Manuale
Fiat 500 500 1.2 Lounge 69cv	€ 5.990	Maggio 2009	126.000 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 Star - CONSEGNA A CASA	€ 13.849	Ottobre 2019	7.850 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Star - CONSEGNA A CASA	€ 13.849	Ottobre 2019	7.850 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Star - CONSEGNA A CASA	€ 13.849	Ottobre 2019	7.850 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Star - CONSEGNA A CASA	€ 13.849	Ottobre 2019	7.850 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Star - CONSEGNA A CASA	€ 13.849	Ottobre 2019	7.850 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Star - CONSEGNA A CASA	€ 13.849	Ottobre 2019	7.850 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Star - CONSEGNA A CASA	€ 13.849	Ottobre 2019	7.850 km	Benzina - Euro 6	Manuale
FIAT 500 500X 1.0 T3 Sport 120cv	€ 18.970	Febbraio 2020	19.600 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge	€ 7.000	Dicembre 2012	101.000 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 SPORT +Gpl	€ 12.490	Agosto 2019	29.900 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge	€ 13.684	Gennaio 2018	27.974 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge	€ 13.684	Gennaio 2018	27.974 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge	€ 13.684	Gennaio 2018	27.974 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge	€ 13.684	Gennaio 2018	27.974 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge	€ 13.684	Gennaio 2018	27.974 km	Benzina - Euro 6	Manuale
Fiat 500 0.9 t.air t. Lounge 85cv Unico Proprietario !	€ 8.200	Aprile 2013	120.000 km	Benzina - Euro 5	Manuale
Fiat 500 500 1.4 16v Sport 100cv*gpl scad 2028	€ 4.600	Gennaio 2008	246.000 km	GPL - Euro 4	Manuale
Fiat 500 1.0 70cv Hybrid Cabrio Lounge Carplay Clima A. Bicolor	€ 14.990	Luglio 2020	28.663 km	Elettrico - Euro 6	Manuale
FIAT 500 1.3 mjt 16v Lounge 95cv my14	€ 9.990	Dicembre 2015	100.467 km	Diesel - Euro 5	Manuale
Fiat 500 500 1.2 Pop 69cv	€ 8.500	Gennaio 2014	78.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.499	Dicembre 2020	3.005 km	Ibrido - Euro 6	Manuale
Fiat 500C 500C 1.2 Lounge PELLE NEOPATENTATI GARANZIA 24MESI	€ 14.899	Marzo 2019	22.051 km	Benzina - Euro 6	Manuale
FIAT 500 1.3 MJT 95 CV Lounge	€ 9.300	Febbraio 2014	140.000 km	Diesel - Euro 5	Manuale
FIAT 500 1.2 Lounge	€ 11.799	Luglio 2018	47.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge Automatica	€ 8.600	Novembre 2014	97.566 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge	€ 9.900	Gennaio 2014	45.800 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.2 Lounge GPL	€ 8.499	Luglio 2013	73.903 km	GPL - Euro 5	Manuale
FIAT 500C C 1.2 Lounge	€ 12.500	Febbraio 2016	58.000 km	Benzina - Euro 6	Automatico
FIAT 500C C 1.2 Lounge	€ 12.500	Febbraio 2016	58.000 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 69cv Star + Car Play	€ 14.400	Dicembre 2019	27.974 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge/MODEL 2020/LED/NAVI	€ 13.500	Febbraio 2019	37.000 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.2 Sport	€ 6.150	Gennaio 2009	108.000 km	Benzina - Euro 4	Manuale
Fiat 500 1.2 Lounge	€ 6.500	Aprile 2010	138.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.0 Hybrid Dolcevita Tetto panoramico Clima aut.	€ 15.950	Settembre 2021	3.000 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita con Ruotino+Clima Automatico	€ 15.980	Marzo 2021	12.869 km	Ibrido - Euro 6	Manuale
Fiat 500 500 1.2 Color Therapy 69cv E6 “neopatentati “	€ 8.600	Dicembre 2015	112.000 km	Benzina - Euro 6	Manuale
FIAT 500C 500 cabrio	€ 10.450	Agosto 2014	55.200 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Easypower Lounge	€ 8.500	Gennaio 2014	110.000 km	GPL - Euro 6	Manuale
"FIAT 500 1.2 ""S"""	€ 9.500	Ottobre 2014	54.503 km	Benzina - Euro 0	Manuale
"FIAT 500 1.2 ""S"""	€ 9.500	Ottobre 2014	54.503 km	Benzina - Euro 0	Manuale
FIAT 500 III 2015 1.2 Pop easypower Gpl 69cv	€ 11.950	Novembre 2017	68.889 km	GPL - Euro 6	Manuale
Fiat 500 1.2 Lounge	€ 10.900	Marzo 2016	44.000 km	Benzina - Euro 6	Manuale
500 C 1.2 Lounge (CV459)	€ 7.250	Febbraio 2010	159.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge	€ 12.400	Febbraio 2019	62.726 km	Benzina - Euro 6	Manuale
Fiat 500 1.0 Hybrid Lounge,navi	€ 13.499	Gennaio 2020	10.000 km	Elettrico - Euro 6	Manuale
Fiat 500 1.2 Lounge	€ 7.800	Agosto 2012	113.900 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge 69CV * TETTO PANORAMICO *	€ 11.250	Maggio 2017	55.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 HYBRID LOUNGE - KM 24.018 - C.LEGA 15'' - NEOP	€ 14.200	Febbraio 2020	24.018 km	Ibrido - Euro 6	Manuale
Fiat 500 1.2 S	€ 11.100	Maggio 2017	85.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Maggio 2019	16.500 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Navi 7 Dab Cerchi 15	€ 12.990	Febbraio 2020	37.502 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Navi 7 Dab Cerchi 15	€ 12.990	Febbraio 2020	3.314 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge/OK NEOPATENTATI/SENSORI PARCH POST	€ 9.290	Ottobre 2014	78.122 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge/OK NEOPATENTATI/SENSORI PARCH POST	€ 9.290	Ottobre 2014	78.122 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge/OK NEOPATENTATI/SENSORI PARCH POST	€ 9.290	Ottobre 2014	78.122 km	Benzina - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Sport Tetto P. Clima Aut. Car Play M. Pelle Cerchi 16	€ 15.990	Novembre 2021	7.278 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Sport Tetto P. Clima Aut. Car Play M. Pelle Cerchi 16	€ 15.990	Novembre 2021	7.278 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Sport Tetto P. Clima Aut. Car Play M. Pelle Cerchi 16	€ 15.990	Novembre 2021	7.278 km	Elettrico - Euro 6	Manuale
FIAT 500 1.2 EasyPower Pop	€ 10.500	Dicembre 2016	73.600 km	GPL - Euro 6	Manuale
FIAT 500 La Prima Berlina	€ 26.700	Settembre 2021	7.950 km	Elettrico - Euro 6	Automatico
Fiat 500e CABRIO ICON PACK CODRIVER MAGIC EYE COMF S	€ 26.900	Novembre 2020	16.000 km	Elettrico - Euro 6	Automatico
FIAT 500 1.2 Lounge	€ 13.490	Aprile 2019	14.200 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 Lounge 69cv my18	€ 11.990	Febbraio 2018	38.554 km	Benzina - Euro 6	Manuale
FIAT 500 500 Icon Berlina	€ 24.900	Maggio 2021	18.000 km	Elettrico - Euro 0	Automatico
Fiat 500 1.0 Hybrid Star,navi, Pelle	€ 14.499	Settembre 2020	19.000 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Cabrio Lounge Carplay Clima A. Bicolor	€ 14.990	Luglio 2020	27.665 km	Elettrico - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 5.650	Aprile 2008	142.000 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 69cv Pop + Pack Lounge *PREZZO PROMO*	€ 11.390	Settembre 2018	20.550 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Sport	€ 5.950	Giugno 2008	152.000 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 Lounge	€ 13.500	Settembre 2020	46.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
Fiat 500 Lounge 1.2 Benzina 69CV	€ 10.990	Dicembre 2016	51.105 km	Benzina - Euro 0	Manuale
FIAT 500 500 C 1.2 Lounge	€ 8.900	Novembre 2012	82.000 km	Benzina - Euro 5	Manuale
Fiat 500 1.2 69CV #CERCHI#BLUETOOTH	€ 11.500	Aprile 2018	38.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.3 Multijet 95 CV Collezione	€ 12.999	Dicembre 2018	35.530 km	Diesel - Euro 6	Manuale
Fiat 500 500 1.2 Lounge 69cv	€ 6.299	Aprile 2009	116.935 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 lounge s&s 69cv Ok Neopatentati / App Connect	€ 13.590	Giugno 2019	19.362 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 lounge s&s 69cv Ok Neopatentati / App Connect	€ 13.590	Giugno 2019	19.362 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 lounge s&s 69cv Ok Neopatentati / App Connect	€ 13.590	Giugno 2019	19.362 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 HYBRID LAUNCH EDITION TETTO PANORAMICO TFT	€ 14.480	Febbraio 2020	4.900 km	Ibrido - Euro 6	Manuale
FIAT 500 500 1.2 EasyPower Pop Star	€ 7.890	Luglio 2013	107.000 km	GPL - Euro 5	Manuale
Fiat 500 1.2 Lounge 69cv my20	€ 13.790	Giugno 2020	11.000 km	Benzina - Euro 6	Manuale
Fiat 500 500 1.2 POPSTAR 69cv E6	€ 9.500	Gennaio 2015	92.800 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Navi 7 Speed Limiter Clima A. Sensor Fendin. Cerchi 15	€ 11.880	Giugno 2019	65.880 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 HYBRID LAUNCH EDITION TETTO PANORAMICO TFT	€ 13.980	Febbraio 2020	8.990 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 Lounge	€ 11.390	Gennaio 2018	54.315 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 s Unico Proprietario - Neopatentati	€ 8.490	Giugno 2015	140.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.0 Hybrid 70CV Dolcevita	€ 16.990	Novembre 2021	9.600 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 Pop NEOPATENTATI	€ 9.890	Settembre 2018	41.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge	€ 10.900	Marzo 2016	41.200 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 Hybrid Connect Pack Sport	€ 14.990	Aprile 2021	10.311 km	Ibrido - Euro 6	Manuale
FIAT 500C 1.2 Lounge	€ 14.800	Maggio 2019	52.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 BENZ OK NEOPATEN*UCONNECT*PDC POST*CLIMA*LEGA*	€ 11.500	Settembre 2018	34.650 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 *** RED LIMITED EDITION *** OK NEOPATENTATI	€ 5.990	Marzo 2009	140.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 Pop Star 69cv my14	€ 9.990	Aprile 2015	56.425 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - SOLO 60000 KM- OK neopatentati	€ 10.800	Agosto 2014	60.000 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 11.999	Marzo 2016	28.870 km	Benzina - Euro 6	Automatico
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid dolcevita 70cv Tetto / Garanzia 4 anni	€ 16.990	Dicembre 2021	10 km	Altro - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 11.380	Marzo 2019	40.111 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 11.380	Marzo 2019	40.111 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 GPL 69cv Mirror+R16	€ 11.500	Agosto 2018	75.271 km	GPL - Euro 6	Manuale
Fiat 500 1.0 Hybrid Pop, Clima	€ 12.999	Gennaio 2020	6.500 km	Elettrico - Euro 6	Manuale
Fiat 500 1.2 69CV E.5A (NEOPATENTATI)	€ 5.990	Luglio 2009	145.235 km	Benzina - Euro 5	Manuale
