Title	Price	Month_Year	Kms	Fuel	Transmission
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Maggio 2019	45.300 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Maggio 2019	45.300 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Maggio 2019	45.300 km	Benzina - Euro 6	Manuale
FIAT 500C 1.0 Hybrid Lounge NAVI	€ 18.950	Gennaio 2021	18.402 km	Benzina - Euro 6	Manuale
FIAT 500 OK NEO PAT. 1.2 Lounge	€ 6.400	Novembre 2007	154.000 km	Benzina - Euro 4	Manuale
Fiat 500 1.3 Multijet 95 CV Riva	€ 16.400	Febbraio 2017	118.000 km	Diesel - Euro 6	Manuale
Fiat 500C 1.2 Lounge 69cv my14	€ 13.500	Maggio 2016	53.850 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Lounge 69cv AUT	€ 7.950	Gennaio 2011	120.542 km	Benzina - Euro 5	Automatico
Fiat 500 GPL E Benzina	€ 11.490	Dicembre 2016	93.424 km	GPL - Euro 6	Manuale
FIAT 500C 1.2 Lounge	€ 15.500	Settembre 2017	13.830 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge	€ 13.500	Maggio 2017	62.900 km	Benzina - Euro 6	Manuale
FIAT 500 1.3 Multijet 16V 95 CV Lounge	€ 7.500	Giugno 2011	176.200 km	Diesel - Euro 5	Manuale
FIAT 500 500 1.3 MJT 95 CV Lounge NEOPATENTATI	€ 7.990	Settembre 2011	147.000 km	Diesel - Euro 0	Manuale
FIAT 500 1.2 Pop NEOPATENTATI	€ 13.900	Marzo 2019	59.642 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.3 Multijet 16V 75 CV Lounge	€ 7.500	Marzo 2010	148.000 km	Diesel - Euro 5	Manuale
Fiat 500 S 1.2 Benzina 69CV	€ 12.990	Dicembre 2018	47.131 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 Lounge OTTIME CONDIZIONI OK NEOPATENTATI	€ 8.000	Aprile 2012	128.710 km	Benzina - Euro 5	Manuale
